VALUES
VALUES
VALUES
VALUES
VALUES
VALUES
VALUES
VALUES
VALUES
VALUES
VALUES
20200212105727.843669 , 53378462 , 1581512247.843669
20200212105728.901028 , 53378462 , 1581512248.901028
20200212105729.951584 , 53378462 , 1581512249.951584
20200212105731.627559 , 53378463 , 1581512251.627559
20200212105732.684864 , 53378463 , 1581512252.684864
20200212105733.758530 , 53378463 , 1581512253.75853
20200212105734.856309 , 53378463 , 1581512254.856309
20200212105735.907801 , 53378464 , 1581512255.907801
20200212105736.996085 , 53378464 , 1581512256.996085
20200212105738.076600 , 53378464 , 1581512258.0766
20200212105739.200776 , 53378464 , 1581512259.200776
20200212105740.286419 , 53378465 , 1581512260.286419
20200212105741.360249 , 53378465 , 1581512261.360249
20200212105742.845932 , 53378465 , 1581512262.845932
20200212105743.928779 , 53378466 , 1581512263.928779
20200212105745.008070 , 53378466 , 1581512265.00807
20200212105746.064486 , 53378466 , 1581512266.064486
20200212105747.131037 , 53378467 , 1581512267.131037
20200212105748.203478 , 53378467 , 1581512268.203478
20200212105749.256341 , 53378467 , 1581512269.256341
20200212105750.318333 , 53378467 , 1581512270.318333
20200212105751.376252 , 53378468 , 1581512271.376252
20200212105752.436743 , 53378468 , 1581512272.436743
20200212105753.499534 , 53378468 , 1581512273.499534
20200212105754.552779 , 53378468 , 1581512274.552779
20200212105755.631610 , 53378469 , 1581512275.63161
20200212105756.718816 , 53378469 , 1581512276.718816
20200212105757.763847 , 53378469 , 1581512277.763847
20200212105758.835512 , 53378469 , 1581512278.835512
20200212105759.919791 , 53378470 , 1581512279.919791
20200212105801.006577 , 53378470 , 1581512281.006577


20200212110203.466286 , 53378534 , 1581512523.466286
20200212110204.512707 , 53378534 , 1581512524.512707
20200212110205.567611 , 53378534 , 1581512525.567611
20200212110206.628167 , 53378535 , 1581512526.628167
20200212110207.706584 , 53378535 , 1581512527.706584
20200212110208.759643 , 53378535 , 1581512528.759643
20200212110209.851211 , 53378536 , 1581512529.851211
20200212110210.932310 , 53378536 , 1581512530.932310
20200212110211.998904 , 53378536 , 1581512531.998904
20200212110213.066245 , 53378536 , 1581512533.066245
20200212110214.123633 , 53378537 , 1581512534.123633
20200212110218.272366 , 53378538 , 1581512538.272366
20200212110219.334663 , 53378538 , 1581512539.334663
20200212110220.448243 , 53378538 , 1581512540.448243
20200212110221.519513 , 53378538 , 1581512541.519513
20200212110222.600627 , 53378539 , 1581512542.600627
20200212110223.667495 , 53378539 , 1581512543.667495
20200212110224.725136 , 53378539 , 1581512544.725136
20200212110225.791989 , 53378539 , 1581512545.791989
20200212110226.843462 , 53378540 , 1581512546.843462
20200212110227.925626 , 53378540 , 1581512547.925626
20200212110228.996291 , 53378540 , 1581512548.996291
20200212110230.062434 , 53378541 , 1581512550.062434
20200212110231.119793 , 53378541 , 1581512551.119793
20200212110232.198126 , 53378541 , 1581512552.198126
20200212110233.252082 , 53378541 , 1581512553.252082
20200212110234.314273 , 53378542 , 1581512554.314273
20200212110235.372546 , 53378542 , 1581512555.372546
20200212110236.435637 , 53378542 , 1581512556.435637
20200212110237.496828 , 53378542 , 1581512557.496828
20200212110238.571818 , 53378543 , 1581512558.571818
20200212110239.659811 , 53378543 , 1581512559.659811
20200212110241.136984 , 53378543 , 1581512561.136984
20200212110242.208701 , 53378544 , 1581512562.208701
20200212110243.375622 , 53378544 , 1581512563.375622
20200212110244.435435 , 53378544 , 1581512564.435435
20200212110245.525500 , 53378544 , 1581512565.525500
20200212110246.575571 , 53378545 , 1581512566.575571
20200212110247.636446 , 53378545 , 1581512567.636446
20200212110248.763642 , 53378545 , 1581512568.763642
20200212110249.827594 , 53378546 , 1581512569.827594
20200212110250.898962 , 53378546 , 1581512570.898962
20200212110251.952653 , 53378546 , 1581512571.952653
20200212110253.020015 , 53378546 , 1581512573.020015
20200212110254.104934 , 53378547 , 1581512574.104934
20200212110255.203437 , 53378547 , 1581512575.203437
20200212110256.261042 , 53378547 , 1581512576.261042
20200212110257.339440 , 53378548 , 1581512577.339440
20200212110258.420738 , 53378548 , 1581512578.420738
20200212110259.482816 , 53378548 , 1581512579.482816
20200212110300.548112 , 53378549 , 1581512580.548112
20200212110301.631254 , 53378549 , 1581512581.631254
20200212110302.703464 , 53378549 , 1581512582.703464
20200212110303.770927 , 53378549 , 1581512583.770927
20200212110304.827554 , 53378550 , 1581512584.827554
20200212110305.922399 , 53378550 , 1581512585.922399
20200212110306.987577 , 53378550 , 1581512586.987577
20200212110308.055340 , 53378550 , 1581512588.055340
20200212110309.116979 , 53378551 , 1581512589.116979
20200212110310.186687 , 53378551 , 1581512590.186687
20200212110311.260678 , 53378551 , 1581512591.260678
20200212110312.350147 , 53378551 , 1581512592.350147
20200212110313.400678 , 53378552 , 1581512593.400678
20200212110314.494548 , 53378552 , 1581512594.494548
20200212110315.575365 , 53378552 , 1581512595.575365
20200212110316.640008 , 53378552 , 1581512596.640008
20200212110317.688292 , 53378553 , 1581512597.688292
20200212110318.754506 , 53378553 , 1581512598.754506
20200212110319.813008 , 53378553 , 1581512599.813008
20200212110320.865179 , 53378554 , 1581512600.865179
20200212110321.944014 , 53378554 , 1581512601.944014
20200212110323.031964 , 53378554 , 1581512603.031964
20200212110324.092705 , 53378554 , 1581512604.092705
20200212110325.229456 , 53378555 , 1581512605.229456
20200212110326.352224 , 53378555 , 1581512606.352224
20200212110327.499445 , 53378555 , 1581512607.499445
20200212110328.564649 , 53378556 , 1581512608.564649
20200212110329.639368 , 53378556 , 1581512609.639368
